# Dia	# Fase
2025-01-30	 0.967
2025-02-28	 0.422
2025-03-30	 1.045
2025-04-28	 0.656
2025-05-27	 0.345
2025-06-26	 1.045
2025-07-25	 0.656
2025-08-23	 0.189
2025-09-22	 0.656
2025-10-21	 0.033
2025-11-20	 0.267
2025-12-20	 0.422
2026-01-19	 0.578
2026-02-18	 0.967
2026-03-19	 0.422
2026-04-18	 1.045
2026-05-17	 0.656
2026-06-15	 0.345
2026-07-15	 1.045
2026-08-13	 0.733
2026-09-11	 0.345
2026-10-11	 0.811
2026-11-09	 0.189
2026-12-09	 0.422
2027-01-08	 0.578
2027-02-07	 0.733
2027-03-08	 0.111
2027-04-07	 0.500
2027-05-06	 0.033
2027-06-05	 0.656
2027-07-04	 0.345
2027-08-03	 1.122
2027-09-01	 0.733
2027-09-30	 0.345
2027-10-30	 0.889
2027-11-28	 0.345
2027-12-28	 0.578
2028-01-27	 0.811
2028-02-25	 0.111
2028-03-26	 0.267
2028-04-25	 0.578
2028-05-24	 0.111
2028-06-23	 0.733
2028-07-22	 0.345
2028-08-21	 1.045
2028-09-19	 0.733
2028-10-18	 0.267
2028-11-17	 0.889
2028-12-16	 0.345
2029-01-15	 0.733
2029-02-13	 0.111
2029-03-15	 0.345
2029-04-14	 0.500
2029-05-14	 0.811
2029-06-12	 0.345
2029-07-12	 0.811
2029-08-10	 0.422
2029-09-08	 0.033
2029-10-08	 0.656
2029-11-06	 0.267
2029-12-06	 0.811
2030-01-04	 0.345
2030-02-03	 0.811
2030-03-04	 0.189
2030-04-03	 0.500
2030-05-03	 0.811
2030-06-01	 0.267
2030-07-01	 0.578
2030-07-30	 0.033
2030-08-29	 0.500
2030-09-27	 0.033
