# Día       	# Fase	# Símbolo	# Nombre
2025-01-14	14.500	🌕	Luna llena
2025-01-22	21.578	🌗	Cuarto menguante
2025-01-30	 0.967	🌑	Luna nueva
2025-02-05	 7.111	🌓	Cuarto creciente
2025-02-13	14.811	🌕	Luna llena
2025-02-21	21.656	🌗	Cuarto menguante
2025-02-28	 0.422	🌑	Luna nueva
2025-03-07	 7.733	🌓	Cuarto creciente
2025-03-14	14.189	🌕	Luna llena
2025-03-22	21.033	🌗	Cuarto menguante
2025-03-30	 1.045	🌑	Luna nueva
2025-04-05	 7.345	🌓	Cuarto creciente
2025-04-13	14.422	🌕	Luna llena
2025-04-21	21.345	🌗	Cuarto menguante
2025-04-28	 0.656	🌑	Luna nueva
2025-05-05	 7.889	🌓	Cuarto creciente
2025-05-13	14.733	🌕	Luna llena
2025-05-21	21.967	🌗	Cuarto menguante
2025-05-27	 0.345	🌑	Luna nueva
2025-06-03	 7.345	🌓	Cuarto creciente
2025-06-11	14.189	🌕	Luna llena
2025-06-19	21.656	🌗	Cuarto menguante
2025-06-26	 1.045	🌑	Luna nueva
2025-07-03	 7.656	🌓	Cuarto creciente
2025-07-11	14.578	🌕	Luna llena
2025-07-18	21.422	🌗	Cuarto menguante
2025-07-25	 0.656	🌑	Luna nueva
2025-08-01	 7.033	🌓	Cuarto creciente
2025-08-09	14.111	🌕	Luna llena
2025-08-16	21.267	🌗	Cuarto menguante
2025-08-23	 0.189	🌑	Luna nueva
2025-08-31	 7.267	🌓	Cuarto creciente
2025-09-08	14.733	🌕	Luna llena
2025-09-14	21.033	🌗	Cuarto menguante
2025-09-22	 0.656	🌑	Luna nueva
2025-09-30	 7.422	🌓	Cuarto creciente
2025-10-07	14.267	🌕	Luna llena
2025-10-14	21.656	🌗	Cuarto menguante
2025-10-21	 0.033	🌑	Luna nueva
2025-10-30	 7.733	🌓	Cuarto creciente
2025-11-06	14.967	🌕	Luna llena
2025-11-12	21.189	🌗	Cuarto menguante
2025-11-20	 0.267	🌑	Luna nueva
2025-11-28	 7.189	🌓	Cuarto creciente
2025-12-05	14.500	🌕	Luna llena
2025-12-12	21.578	🌗	Cuarto menguante
2025-12-20	 0.422	🌑	Luna nueva
2025-12-28	 7.656	🌓	Cuarto creciente
2026-01-04	15.045	🌕	Luna llena
2026-01-11	21.811	🌗	Cuarto menguante
2026-01-19	 0.578	🌑	Luna nueva
2026-01-26	 7.267	🌓	Cuarto creciente
2026-02-02	14.500	🌕	Luna llena
2026-02-09	21.033	🌗	Cuarto menguante
2026-02-18	 0.967	🌑	Luna nueva
2026-02-25	 7.967	🌓	Cuarto creciente
2026-03-04	14.967	🌕	Luna llena
2026-03-11	21.111	🌗	Cuarto menguante
