# Dag       	# Fase	# Simbool	# Naam
2020-01-31	 5.711	🌒	Groeiende sekelmaan
2020-02-01	 6.567	🌒	Groeiende sekelmaan
2020-02-02	 7.422	🌓	Eerste kwartier
2020-02-03	 8.278	🌔	Groeiende bolmaan
2020-02-04	 9.211	🌔	Groeiende bolmaan
2020-02-05	10.145	🌔	Groeiende bolmaan
2020-02-06	11.078	🌔	Groeiende bolmaan
2020-02-07	12.089	🌔	Groeiende bolmaan
2020-02-08	13.178	🌔	Groeiende bolmaan
2020-02-09	14.189	🌕	Volmaan
2020-02-10	15.278	🌖	Afnemende bolmaan
2020-02-11	16.367	🌖	Afnemende bolmaan
2020-02-12	17.378	🌖	Afnemende bolmaan
2020-02-13	18.467	🌖	Afnemende bolmaan
2020-02-14	19.556	🌖	Afnemende bolmaan
2020-02-15	20.567	🌖	Afnemende bolmaan
2020-02-16	21.500	🌗	Laaste kwartier
2020-02-17	22.511	🌘	Afnemende sekelmaan
2020-02-18	23.445	🌘	Afnemende sekelmaan
2020-02-19	24.378	🌘	Afnemende sekelmaan
2020-02-20	25.311	🌘	Afnemende sekelmaan
2020-02-21	26.245	🌘	Afnemende sekelmaan
2020-02-22	27.100	🌘	Afnemende sekelmaan
2020-02-23	27.956	🌘	Afnemende sekelmaan
2020-02-24	 0.811	🌑	Donkermaan
2020-02-25	 1.667	🌒	Groeiende sekelmaan
2020-02-26	 2.522	🌒	Groeiende sekelmaan
2020-02-27	 3.300	🌒	Groeiende sekelmaan
2020-02-28	 4.156	🌒	Groeiende sekelmaan
2020-02-29	 5.011	🌒	Groeiende sekelmaan
2020-03-01	 5.867	🌒	Groeiende sekelmaan
2020-03-02	 6.722	🌒	Groeiende sekelmaan
2020-03-03	 7.656	🌓	Eerste kwartier
2020-03-04	 8.589	🌔	Groeiende bolmaan
2020-03-05	 9.522	🌔	Groeiende bolmaan
2020-03-06	10.533	🌔	Groeiende bolmaan
2020-03-07	11.545	🌔	Groeiende bolmaan
2020-03-08	12.633	🌔	Groeiende bolmaan
2020-03-09	13.722	🌔	Groeiende bolmaan
2020-03-10	14.811	🌕	Volmaan
2020-03-11	15.900	🌖	Afnemende bolmaan
2020-03-12	16.989	🌖	Afnemende bolmaan
2020-03-13	18.078	🌖	Afnemende bolmaan
2020-03-14	19.089	🌖	Afnemende bolmaan
2020-03-15	20.100	🌖	Afnemende bolmaan
2020-03-16	21.111	🌗	Laaste kwartier
2020-03-17	22.045	🌘	Afnemende sekelmaan
2020-03-18	22.978	🌘	Afnemende sekelmaan
2020-03-19	23.911	🌘	Afnemende sekelmaan
2020-03-20	24.767	🌘	Afnemende sekelmaan
2020-03-21	25.622	🌘	Afnemende sekelmaan
2020-03-22	26.478	🌘	Afnemende sekelmaan
2020-03-23	27.333	🌘	Afnemende sekelmaan
2020-03-24	 0.189	🌑	Donkermaan
2020-03-25	 0.967	🌒	Groeiende sekelmaan
2020-03-26	 1.822	🌒	Groeiende sekelmaan
