# Tag       	# Phase	# Symbole	# Name
2021-07-28	18.389	🌖	Abnehmender Mond
2021-07-29	19.322	🌖	Abnehmender Mond
2021-07-30	20.178	🌖	Abnehmender Mond
2021-07-31	21.033	🌗	Letztes Viertel
2021-08-01	21.889	🌘	Abnehmender Sichelmond
2021-08-02	22.745	🌘	Abnehmender Sichelmond
2021-08-03	23.600	🌘	Abnehmender Sichelmond
2021-08-04	24.378	🌘	Abnehmender Sichelmond
2021-08-05	25.233	🌘	Abnehmender Sichelmond
2021-08-06	26.167	🌘	Abnehmender Sichelmond
2021-08-07	27.022	🌘	Abnehmender Sichelmond
2021-08-08	27.956	🌘	Abnehmender Sichelmond
2021-08-09	 0.889	🌑	Neumond
2021-08-10	 1.900	🌒	Zunehmender Sichelmond
2021-08-11	 2.833	🌒	Zunehmender Sichelmond
2021-08-12	 3.845	🌒	Zunehmender Sichelmond
2021-08-13	 4.856	🌒	Zunehmender Sichelmond
2021-08-14	 5.867	🌒	Zunehmender Sichelmond
2021-08-15	 6.878	🌒	Zunehmender Sichelmond
2021-08-16	 7.889	🌓	Erstes Viertel
2021-08-17	 8.900	🌔	Zunehmender Mond
2021-08-18	 9.911	🌔	Zunehmender Mond
2021-08-19	10.922	🌔	Zunehmender Mond
2021-08-20	12.011	🌔	Zunehmender Mond
2021-08-21	13.022	🌔	Zunehmender Mond
2021-08-22	14.033	🌕	Vollmond
2021-08-23	14.967	🌖	Abnehmender Mond
2021-08-24	15.978	🌖	Abnehmender Mond
2021-08-25	16.911	🌖	Abnehmender Mond
2021-08-26	17.845	🌖	Abnehmender Mond
2021-08-27	18.700	🌖	Abnehmender Mond
2021-08-28	19.556	🌖	Abnehmender Mond
2021-08-29	20.411	🌖	Abnehmender Mond
2021-08-30	21.267	🌗	Letztes Viertel
2021-08-31	22.122	🌘	Abnehmender Sichelmond
2021-09-01	22.900	🌘	Abnehmender Sichelmond
2021-09-02	23.756	🌘	Abnehmender Sichelmond
2021-09-03	24.689	🌘	Abnehmender Sichelmond
2021-09-04	25.545	🌘	Abnehmender Sichelmond
2021-09-05	26.478	🌘	Abnehmender Sichelmond
2021-09-06	27.489	🌘	Abnehmender Sichelmond
2021-09-07	 0.500	🌑	Neumond
2021-09-08	 1.511	🌒	Zunehmender Sichelmond
2021-09-09	 2.522	🌒	Zunehmender Sichelmond
2021-09-10	 3.533	🌒	Zunehmender Sichelmond
2021-09-11	 4.545	🌒	Zunehmender Sichelmond
2021-09-12	 5.633	🌒	Zunehmender Sichelmond
2021-09-13	 6.645	🌒	Zunehmender Sichelmond
2021-09-14	 7.656	🌓	Erstes Viertel
2021-09-15	 8.667	🌔	Zunehmender Mond
2021-09-16	 9.678	🌔	Zunehmender Mond
2021-09-17	10.689	🌔	Zunehmender Mond
2021-09-18	11.622	🌔	Zunehmender Mond
2021-09-19	12.633	🌔	Zunehmender Mond
2021-09-20	13.567	🌔	Zunehmender Mond
2021-09-21	14.500	🌕	Vollmond
2021-09-22	15.433	🌖	Abnehmender Mond
2021-09-23	16.289	🌖	Abnehmender Mond
2021-09-24	17.222	🌖	Abnehmender Mond
2021-09-25	18.078	🌖	Abnehmender Mond
2021-09-26	18.933	🌖	Abnehmender Mond
2021-09-27	19.711	🌖	Abnehmender Mond
2021-09-28	20.567	🌖	Abnehmender Mond
2021-09-29	21.422	🌗	Letztes Viertel
2021-09-30	22.278	🌘	Abnehmender Sichelmond
2021-10-01	23.133	🌘	Abnehmender Sichelmond
2021-10-02	24.067	🌘	Abnehmender Sichelmond
2021-10-03	25.000	🌘	Abnehmender Sichelmond
2021-10-04	26.011	🌘	Abnehmender Sichelmond
2021-10-05	26.945	🌘	Abnehmender Sichelmond
2021-10-06	 0.033	🌑	Neumond
2021-10-07	 1.045	🌒	Zunehmender Sichelmond
2021-10-08	 2.133	🌒	Zunehmender Sichelmond
2021-10-09	 3.222	🌒	Zunehmender Sichelmond
2021-10-10	 4.233	🌒	Zunehmender Sichelmond
2021-10-11	 5.322	🌒	Zunehmender Sichelmond
2021-10-12	 6.333	🌒	Zunehmender Sichelmond
2021-10-13	 7.345	🌓	Erstes Viertel
2021-10-14	 8.356	🌔	Zunehmender Mond
2021-10-15	 9.367	🌔	Zunehmender Mond
2021-10-16	10.300	🌔	Zunehmender Mond
2021-10-17	11.233	🌔	Zunehmender Mond
2021-10-18	12.167	🌔	Zunehmender Mond
2021-10-19	13.100	🌔	Zunehmender Mond
2021-10-20	13.956	🌔	Zunehmender Mond
2021-10-21	14.811	🌕	Vollmond
2021-10-22	15.667	🌖	Abnehmender Mond
2021-10-23	16.522	🌖	Abnehmender Mond
2021-10-24	17.378	🌖	Abnehmender Mond
2021-10-25	18.233	🌖	Abnehmender Mond
2021-10-26	19.089	🌖	Abnehmender Mond
2021-10-27	19.867	🌖	Abnehmender Mond
2021-10-28	20.722	🌖	Abnehmender Mond
2021-10-29	21.656	🌗	Letztes Viertel
2021-10-30	22.511	🌘	Abnehmender Sichelmond
