# Day	# Phase
2023-02-06	14.656
2023-03-08	14.889
2023-04-06	14.267
2023-05-06	14.733
2023-06-04	14.345
2023-08-02	14.733
2023-08-31	14.345
2023-10-29	14.578
2023-11-27	14.111
2023-12-27	14.422
2024-01-26	14.656
2024-02-24	14.033
2024-03-25	14.189
2024-04-24	14.422
2024-05-24	14.889
2024-06-22	14.422
2024-07-21	14.033
2024-08-20	14.733
2024-09-18	14.345
2024-11-16	14.578
2024-12-15	14.033
2025-01-14	14.500
2025-02-13	14.811
2025-03-14	14.189
2025-04-13	14.422
2025-05-13	14.733
2025-06-11	14.189
2025-07-11	14.578
2025-08-09	14.111
2025-09-08	14.733
2025-10-07	14.267
2025-11-06	14.967
2025-12-05	14.500
2026-02-02	14.500
2026-03-04	14.967
2026-04-02	14.422
2026-05-02	14.733
