# Jour	# Phase
2021-11-05	 0.578
2021-12-04	 0.111
2022-01-03	 0.733
2022-02-01	 0.267
2022-03-03	 0.733
2022-04-01	 0.267
2022-05-01	 0.656
2022-05-30	 0.111
2022-06-29	 0.422
2022-07-29	 0.733
2022-08-27	 0.189
2022-09-26	 0.578
2022-10-25	 0.033
2022-11-24	 0.578
2022-12-23	 0.033
2023-01-22	 0.656
2023-02-20	 0.189
2023-03-22	 0.811
2023-04-20	 0.345
2023-05-20	 0.811
2023-06-18	 0.345
2023-07-18	 0.733
2023-08-16	 0.189
2023-09-15	 0.422
2023-10-15	 0.733
2023-11-13	 0.111
2023-12-13	 0.500
