# Giorno    	# Fase	# Simbolo	# Nome
2022-01-30	26.089	🌘	Luna calante
2022-01-31	27.178	🌘	Luna calante
2022-02-01	 0.267	🌑	Luna nuova
2022-02-02	 1.278	🌒	Luna crescente
2022-02-03	 2.367	🌒	Luna crescente
2022-02-04	 3.300	🌒	Luna crescente
2022-02-05	 4.311	🌒	Luna crescente
2022-02-06	 5.245	🌒	Luna crescente
2022-02-07	 6.178	🌒	Luna crescente
2022-02-08	 7.033	🌓	Primo quarto
2022-02-09	 7.889	🌔	Gibbosa crescente
2022-02-10	 8.745	🌔	Gibbosa crescente
2022-02-11	 9.522	🌔	Gibbosa crescente
2022-02-12	10.378	🌔	Gibbosa crescente
2022-02-13	11.233	🌔	Gibbosa crescente
2022-02-14	12.089	🌔	Gibbosa crescente
2022-02-15	12.945	🌔	Gibbosa crescente
2022-02-16	13.878	🌔	Gibbosa crescente
2022-02-17	14.733	🌕	Luna piena
2022-02-18	15.667	🌖	Gibbosa calante
2022-02-19	16.678	🌖	Gibbosa calante
2022-02-20	17.611	🌖	Gibbosa calante
2022-02-21	18.545	🌖	Gibbosa calante
2022-02-22	19.556	🌖	Gibbosa calante
2022-02-23	20.567	🌖	Gibbosa calante
2022-02-24	21.578	🌗	Ultimo quarto
2022-02-25	22.589	🌘	Luna calante
2022-02-26	23.600	🌘	Luna calante
2022-02-27	24.689	🌘	Luna calante
2022-02-28	25.700	🌘	Luna calante
2022-03-01	26.711	🌘	Luna calante
2022-03-02	27.722	🌘	Luna calante
2022-03-03	 0.733	🌑	Luna nuova
2022-03-04	 1.745	🌒	Luna crescente
2022-03-05	 2.678	🌒	Luna crescente
2022-03-06	 3.689	🌒	Luna crescente
2022-03-07	 4.545	🌒	Luna crescente
2022-03-08	 5.400	🌒	Luna crescente
2022-03-09	 6.256	🌒	Luna crescente
2022-03-10	 7.111	🌓	Primo quarto
2022-03-11	 7.967	🌔	Gibbosa crescente
2022-03-12	 8.822	🌔	Gibbosa crescente
2022-03-13	 9.678	🌔	Gibbosa crescente
2022-03-14	10.533	🌔	Gibbosa crescente
2022-03-15	11.389	🌔	Gibbosa crescente
2022-03-16	12.322	🌔	Gibbosa crescente
2022-03-17	13.256	🌔	Gibbosa crescente
2022-03-18	14.189	🌕	Luna piena
2022-03-19	15.200	🌖	Gibbosa calante
2022-03-20	16.211	🌖	Gibbosa calante
2022-03-21	17.222	🌖	Gibbosa calante
2022-03-22	18.233	🌖	Gibbosa calante
