# Dia       	# Fase	# Símbolo	# Nome
2022-04-09	 7.267	🌓	Quarto crescente
2022-04-17	14.733	🌕	Lua cheia
2022-04-24	21.967	🌗	Quarto minguante
2022-05-01	 0.656	🌑	Lua nova
2022-05-09	 7.422	🌓	Quarto crescente
2022-05-16	14.345	🌕	Lua cheia
2022-05-23	21.733	🌗	Quarto minguante
2022-05-30	 0.111	🌑	Lua nova
2022-06-08	 7.811	🌓	Quarto crescente
2022-06-21	21.345	🌗	Quarto minguante
2022-06-29	 0.422	🌑	Lua nova
2022-07-07	 7.422	🌓	Quarto crescente
2022-07-14	14.733	🌕	Lua cheia
2022-07-21	21.889	🌗	Quarto minguante
2022-07-29	 0.733	🌑	Lua nova
2022-08-05	 7.033	🌓	Quarto crescente
2022-08-12	14.422	🌕	Lua cheia
2022-08-19	21.345	🌗	Quarto minguante
2022-08-27	 0.189	🌑	Lua nova
2022-09-04	 7.811	🌓	Quarto crescente
2022-09-10	14.033	🌕	Lua cheia
2022-09-18	21.578	🌗	Quarto minguante
2022-09-26	 0.578	🌑	Lua nova
2022-10-03	 7.500	🌓	Quarto crescente
2022-10-10	14.578	🌕	Lua cheia
2022-10-18	21.733	🌗	Quarto minguante
2022-10-25	 0.033	🌑	Lua nova
2022-11-01	 7.189	🌓	Quarto crescente
2022-11-08	14.111	🌕	Lua cheia
2022-11-16	21.033	🌗	Quarto minguante
2022-11-24	 0.578	🌑	Lua nova
2022-12-01	 7.889	🌓	Quarto crescente
2022-12-08	14.345	🌕	Lua cheia
2022-12-16	21.111	🌗	Quarto minguante
2022-12-23	 0.033	🌑	Lua nova
2022-12-30	 7.422	🌓	Quarto crescente
2023-01-07	14.578	🌕	Lua cheia
2023-01-15	21.422	🌗	Quarto minguante
2023-01-22	 0.656	🌑	Lua nova
2023-01-29	 7.811	🌓	Quarto crescente
2023-02-06	14.656	🌕	Lua cheia
2023-02-14	21.811	🌗	Quarto minguante
2023-02-20	 0.189	🌑	Lua nova
2023-02-27	 7.189	🌓	Quarto crescente
2023-03-07	14.033	🌕	Lua cheia
2023-03-15	21.422	🌗	Quarto minguante
2023-03-22	 0.811	🌑	Lua nova
2023-03-29	 7.422	🌓	Quarto crescente
2023-04-06	14.345	🌕	Lua cheia
2023-04-13	21.111	🌗	Quarto minguante
2023-04-20	 0.345	🌑	Lua nova
2023-04-28	 7.578	🌓	Quarto crescente
2023-05-06	14.811	🌕	Lua cheia
2023-05-13	21.889	🌗	Quarto minguante
2023-05-20	 0.811	🌑	Lua nova
2023-05-28	 7.811	🌓	Quarto crescente
2023-06-04	14.345	🌕	Lua cheia
2023-06-11	21.656	🌗	Quarto minguante
2023-06-18	 0.345	🌑	Lua nova
2023-06-26	 7.189	🌓	Quarto crescente
2023-07-03	14.033	🌕	Lua cheia
2023-07-10	21.422	🌗	Quarto minguante
2023-07-18	 0.733	🌑	Lua nova
2023-07-26	 7.578	🌓	Quarto crescente
2023-08-02	14.733	🌕	Lua cheia
2023-08-08	21.111	🌗	Quarto minguante
2023-08-16	 0.189	🌑	Lua nova
2023-08-24	 7.111	🌓	Quarto crescente
2023-08-31	14.422	🌕	Lua cheia
2023-09-07	21.578	🌗	Quarto minguante
2023-09-15	 0.422	🌑	Lua nova
2023-09-23	 7.733	🌓	Quarto crescente
2023-09-29	14.033	🌕	Lua cheia
2023-10-06	21.033	🌗	Quarto minguante
2023-10-15	 0.733	🌑	Lua nova
2023-10-22	 7.345	🌓	Quarto crescente
2023-10-29	14.656	🌕	Lua cheia
2023-11-05	21.189	🌗	Quarto minguante
2023-11-13	 0.111	🌑	Lua nova
2023-11-20	 7.033	🌓	Quarto crescente
2023-11-27	14.111	🌕	Lua cheia
2023-12-05	21.267	🌗	Quarto minguante
2023-12-13	 0.500	🌑	Lua nova
2023-12-20	 7.733	🌓	Quarto crescente
2023-12-27	14.500	🌕	Lua cheia
2024-01-04	21.345	🌗	Quarto minguante
2024-01-18	 7.345	🌓	Quarto crescente
2024-01-26	14.733	🌕	Lua cheia
2024-02-03	21.500	🌗	Quarto minguante
2024-02-10	 0.578	🌑	Lua nova
2024-02-17	 7.889	🌓	Quarto crescente
2024-02-24	14.033	🌕	Lua cheia
2024-03-04	21.811	🌗	Quarto minguante
2024-03-10	 0.111	🌑	Lua nova
2024-03-17	 7.345	🌓	Quarto crescente
2024-03-25	14.267	🌕	Lua cheia
2024-04-02	21.345	🌗	Quarto minguante
2024-04-09	 0.733	🌑	Lua nova
2024-04-16	 7.733	🌓	Quarto crescente
2024-04-24	14.500	🌕	Lua cheia
2024-05-01	21.033	🌗	Quarto minguante
2024-05-08	 0.345	🌑	Lua nova
2024-05-15	 7.111	🌓	Quarto crescente
2024-05-24	14.889	🌕	Lua cheia
2024-05-31	21.811	🌗	Quarto minguante
2024-06-07	 0.967	🌑	Lua nova
2024-06-14	 7.345	🌓	Quarto crescente
2024-06-22	14.500	🌕	Lua cheia
2024-06-29	21.578	🌗	Quarto minguante
2024-07-06	 0.500	🌑	Lua nova
2024-07-14	 7.500	🌓	Quarto crescente
2024-07-21	14.033	🌕	Lua cheia
2024-07-28	21.345	🌗	Quarto minguante
2024-08-04	 0.111	🌑	Lua nova
2024-08-13	 7.811	🌓	Quarto crescente
2024-08-20	14.733	🌕	Lua cheia
2024-08-26	21.111	🌗	Quarto minguante
2024-09-03	 0.422	🌑	Lua nova
2024-09-11	 7.267	🌓	Quarto crescente
2024-09-18	14.345	🌕	Lua cheia
2024-09-25	21.733	🌗	Quarto minguante
2024-10-03	 0.656	🌑	Lua nova
2024-10-11	 7.733	🌓	Quarto crescente
2024-10-24	21.189	🌗	Quarto minguante
2024-11-01	 0.033	🌑	Lua nova
2024-11-09	 7.267	🌓	Quarto crescente
2024-11-16	14.578	🌕	Lua cheia
2024-11-23	21.422	🌗	Quarto minguante
2024-12-01	 0.267	🌑	Lua nova
2024-12-09	 7.889	🌓	Quarto crescente
2024-12-15	14.111	🌕	Lua cheia
2024-12-23	21.578	🌗	Quarto minguante
2024-12-31	 0.578	🌑	Lua nova
2025-01-07	 7.500	🌓	Quarto crescente
2025-01-14	14.578	🌕	Lua cheia
2025-01-22	21.656	🌗	Quarto minguante
2025-01-30	 0.967	🌑	Lua nova
2025-02-05	 7.189	🌓	Quarto crescente
2025-02-13	14.889	🌕	Lua cheia
2025-02-21	21.733	🌗	Quarto minguante
2025-02-28	 0.500	🌑	Lua nova
2025-03-07	 7.811	🌓	Quarto crescente
2025-03-14	14.267	🌕	Lua cheia
2025-03-22	21.033	🌗	Quarto minguante
2025-03-29	 0.033	🌑	Lua nova
2025-04-05	 7.422	🌓	Quarto crescente
2025-04-13	14.500	🌕	Lua cheia
2025-04-21	21.422	🌗	Quarto minguante
2025-04-28	 0.733	🌑	Lua nova
2025-05-05	 7.889	🌓	Quarto crescente
2025-05-13	14.733	🌕	Lua cheia
2025-05-20	21.033	🌗	Quarto minguante
2025-05-27	 0.345	🌑	Lua nova
2025-06-03	 7.422	🌓	Quarto crescente
2025-06-11	14.189	🌕	Lua cheia
2025-06-19	21.733	🌗	Quarto minguante
2025-06-25	 0.033	🌑	Lua nova
2025-07-03	 7.656	🌓	Quarto crescente
